Roll Number,Department
21H71A0101,CIVIL
21H71A0102,CIVIL
21H71A0103,CIVIL
21H71A0104,CIVIL
21H71A0105,CIVIL
21H71A0106,CIVIL
21H71A0107,CIVIL
21H71A0401,ECE
21H71A0402,ECE
21H71A0403,ECE
21H71A0404,ECE
21H71A0405,ECE
21H71A0406,ECE
21H71A0407,ECE
21H71A0408,ECE
21H71A0409,ECE
21H71A0410,ECE
21H71A0411,ECE
21H71A0412,ECE
21H71A0413,ECE
21H71A0414,ECE
21H71A0415,ECE
21H71A0416,ECE
21H71A0417,ECE
21H71A0418,ECE
21H71A0419,ECE
21H71A0420,ECE
21H71A0421,ECE
21H71A0422,ECE
21H71A0423,ECE
21H71A0424,ECE
21H71A0425,ECE
21H71A0426,ECE
21H71A0427,ECE
21H71A0428,ECE
21H71A0429,ECE
21H71A0430,ECE
21H71A0431,ECE
21H71A0432,ECE
21H71A0433,ECE
21H71A0434,ECE
21H71A0435,ECE
21H71A0436,ECE
21H71A0437,ECE
21H71A0438,ECE
21H71A0439,ECE
21H71A0440,ECE
21H71A0441,ECE
21H71A0442,ECE
21H71A0443,ECE
21H71A0444,ECE
21H71A0445,ECE
21H71A0446,ECE
21H71A0447,ECE
21H71A0448,ECE
21H71A0449,ECE
21H71A0450,ECE
21H71A0451,ECE
21H71A0452,ECE
21H71A0453,ECE
21H71A0454,ECE
21H71A0455,ECE
21H71A0456,ECE
21H71A0457,ECE
21H71A0458,ECE
21H71A0459,ECE
21H71A0460,ECE
21H71A0461,ECE
21H71A0462,ECE
21H71A0463,ECE
21H71A0464,ECE
21H71A0465,ECE
21H71A0466,ECE
21H71A0467,ECE
21H71A0468,ECE
21H71A0469,ECE
21H71A0470,ECE
21H71A0471,ECE
21H71A0472,ECE
21H71A0473,ECE
21H71A0474,ECE
21H71A0475,ECE
21H71A0476,ECE
21H71A0477,ECE
21H71A0478,ECE
21H71A0479,ECE
21H71A0480,ECE
21H71A0481,ECE
21H71A0482,ECE
21H71A0483,ECE
21H71A0484,ECE
21H71A0485,ECE
21H71A0486,ECE
21H71A0487,ECE
21H71A0488,ECE
21H71A0489,ECE
21H71A0490,ECE
21H71A0491,ECE
21H71A0492,ECE
21H71A0493,ECE
21H71A0494,ECE
21H71A0495,ECE
21H71A0496,ECE
21H71A0497,ECE
21H71A0498,ECE
21H71A0499,ECE
21H71A04A0,ECE
21H71A04A1,ECE
21H71A04A2,ECE
21H71A04A3,ECE
21H71A04A4,ECE
21H71A04A5,ECE
21H71A04A6,ECE
21H71A04A7,ECE
21H71A04A8,ECE
21H71A04A9,ECE
21H71A04B0,ECE
21H71A04B1,ECE
21H71A04B2,ECE
21H71A04B3,ECE
21H71A04B4,ECE
21H71A04B5,ECE
21H71A04B6,ECE
21H71A04B7,ECE
21H71A04B8,ECE
21H71A04B9,ECE
21H71A04C0,ECE
21H71A04C1,ECE
21H71A04C2,ECE
21H71A04C3,ECE
21H71A04C4,ECE
21H71A04C5,ECE
21H71A04C6,ECE
21H71A04C7,ECE
21H71A04C8,ECE
21H71A04C9,ECE
21H71A04D0,ECE
21H71A04D1,ECE
21H71A04D2,ECE
21H71A04D3,ECE
21H71A04D4,ECE
21H71A04D5,ECE
21H71A04D6,ECE
21H71A04D7,ECE
21H71A04D8,ECE
21H71A04D9,ECE
21H71A04E0,ECE
21H71A04E1,ECE
21H71A04E2,ECE
21H71A04E3,ECE
21H71A04E4,ECE
21H71A04E5,ECE
21H71A04E6,ECE
21H71A04E7,ECE
21H71A04E8,ECE
21H71A04E9,ECE
21H71A04F0,ECE
21H71A04F1,ECE
21H71A04F2,ECE
21H71A04F3,ECE
21H71A04F4,ECE
21H71A04F5,ECE
21H71A04F6,ECE
21H71A04F7,ECE
21H71A04F8,ECE
21H71A04F9,ECE
21H71A04G0,ECE
21H71A04G1,ECE
21H71A04G2,ECE
21H71A04G3,ECE
21H71A04G4,ECE
21H71A0502,CSE
21H71A0503,CSE
21H71A0504,CSE
21H71A0505,CSE
21H71A0506,CSE
21H71A0507,CSE
21H71A0508,CSE
21H71A0509,CSE
21H71A0510,CSE
21H71A0511,CSE
21H71A0512,CSE
21H71A0513,CSE
21H71A0514,CSE
21H71A0515,CSE
21H71A0516,CSE
21H71A0517,CSE
21H71A0518,CSE
21H71A0519,CSE
21H71A0520,CSE
21H71A0521,CSE
21H71A0522,CSE
21H71A0523,CSE
21H71A0524,CSE
21H71A0525,CSE
21H71A0526,CSE
21H71A0527,CSE
21H71A0528,CSE
21H71A0529,CSE
21H71A0530,CSE
21H71A0531,CSE
21H71A0532,CSE
21H71A0533,CSE
21H71A0534,CSE
21H71A0535,CSE
21H71A0536,CSE
21H71A0537,CSE
21H71A0538,CSE
21H71A0539,CSE
21H71A0540,CSE
21H71A0541,CSE
21H71A0542,CSE
21H71A0543,CSE
21H71A0544,CSE
21H71A0545,CSE
21H71A0546,CSE
21H71A0547,CSE
21H71A0548,CSE
21H71A0549,CSE
21H71A0550,CSE
21H71A0551,CSE
21H71A0552,CSE
21H71A0553,CSE
21H71A0554,CSE
21H71A0555,CSE
21H71A0556,CSE
21H71A0557,CSE
21H71A0558,CSE
21H71A0559,CSE
21H71A0560,CSE
21H71A0561,CSE
21H71A0562,CSE
21H71A0563,CSE
21H71A0564,CSE
21H71A0565,CSE
21H71A0566,CSE
21H71A0567,CSE
21H71A0568,CSE
21H71A0569,CSE
21H71A0570,CSE
21H71A0571,CSE
21H71A0572,CSE
21H71A0573,CSE
21H71A0574,CSE
21H71A0575,CSE
21H71A0576,CSE
21H71A0577,CSE
21H71A0578,CSE
21H71A0579,CSE
21H71A0580,CSE
21H71A0581,CSE
21H71A0582,CSE
21H71A0583,CSE
21H71A0584,CSE
21H71A0585,CSE
21H71A0586,CSE
21H71A0587,CSE
21H71A0588,CSE
21H71A0589,CSE
21H71A0590,CSE
21H71A0591,CSE
21H71A0592,CSE
21H71A0593,CSE
21H71A0594,CSE
21H71A0595,CSE
21H71A0596,CSE
21H71A0597,CSE
21H71A0598,CSE
21H71A0599,CSE
21H71A05A0,CSE
21H71A05A1,CSE
21H71A05A2,CSE
21H71A05A3,CSE
21H71A05A4,CSE
21H71A05A5,CSE
21H71A05A6,CSE
21H71A05A7,CSE
21H71A05A8,CSE
21H71A05A9,CSE
21H71A05B0,CSE
21H71A05B1,CSE
21H71A05B2,CSE
21H71A05B3,CSE
21H71A05B4,CSE
21H71A05B5,CSE
21H71A05B6,CSE
21H71A05B7,CSE
21H71A05B8,CSE
21H71A05B9,CSE
21H71A05C0,CSE
21H71A05C1,CSE
21H71A05C2,CSE
21H71A05C3,CSE
21H71A05C4,CSE
21H71A05C5,CSE
21H71A05C6,CSE
21H71A05C7,CSE
21H71A05C8,CSE
21H71A05C9,CSE
21H71A05D0,CSE
21H71A05D1,CSE
21H71A05D2,CSE
21H71A05D3,CSE
21H71A05D4,CSE
21H71A05D5,CSE
21H71A05D6,CSE
21H71A05D7,CSE
21H71A05D8,CSE
21H71A05D9,CSE
21H71A05E0,CSE
21H71A05E1,CSE
21H71A05E2,CSE
21H71A05E3,CSE
21H71A05E4,CSE
21H71A05E5,CSE
21H71A05E6,CSE
21H71A05E7,CSE
21H71A05E8,CSE
21H71A05E9,CSE
21H71A05F0,CSE
21H71A05F1,CSE
21H71A05F2,CSE
21H71A05F3,CSE
21H71A05F4,CSE
21H71A05F5,CSE
21H71A05F6,CSE
21H71A05F7,CSE
21H71A05F8,CSE
21H71A05F9,CSE
21H71A05G0,CSE
21H71A05G1,CSE
21H71A05G2,CSE
21H71A05G3,CSE
21H71A05G4,CSE
21H71A05G5,CSE
21H71A05G6,CSE
21H71A05G7,CSE
21H71A05G8,CSE
21H71A05G9,CSE
21H71A05H0,CSE
21H71A05H1,CSE
21H71A05H2,CSE
21H71A05H3,CSE
21H71A05H4,CSE
21H71A05H5,CSE
21H71A05H6,CSE
21H71A05H7,CSE
21H71A05H8,CSE
21H71A05H9,CSE
21H71A05I0,CSE
21H71A05I1,CSE
21H71A05I2,CSE
21H71A05I3,CSE
21H71A05I4,CSE
21H71A05I5,CSE
21H71A05I6,CSE
21H71A05I7,CSE
21H71A05I8,CSE
21H71A05I9,CSE
21H71A05J0,CSE
21H71A05J1,CSE
21H71A05J2,CSE
21H71A05J3,CSE
21H71A05J4,CSE
21H71A05J5,CSE
21H71A05J6,CSE
21H71A05J7,CSE
21H71A1201,IT
21H71A1202,IT
21H71A1203,IT
21H71A1204,IT
21H71A1205,IT
21H71A1206,IT
21H71A1207,IT
21H71A1208,IT
21H71A1209,IT
21H71A1210,IT
21H71A1211,IT
21H71A1212,IT
21H71A1213,IT
21H71A1214,IT
21H71A1215,IT
21H71A1216,IT
21H71A1217,IT
21H71A1218,IT
21H71A1219,IT
21H71A1220,IT
21H71A1221,IT
21H71A1222,IT
21H71A1223,IT
21H71A1224,IT
21H71A1225,IT
21H71A1226,IT
21H71A1227,IT
21H71A1228,IT
21H71A1229,IT
21H71A1230,IT
21H71A1231,IT
21H71A1232,IT
21H71A1233,IT
21H71A1234,IT
21H71A1235,IT
21H71A1236,IT
21H71A1237,IT
21H71A1238,IT
21H71A1239,IT
21H71A1240,IT
21H71A1241,IT
21H71A1242,IT
21H71A1243,IT
21H71A1244,IT
21H71A1245,IT
21H71A1246,IT
21H71A1247,IT
21H71A1248,IT
21H71A1249,IT
21H71A1250,IT
21H71A1251,IT
21H71A1252,IT
21H71A1253,IT
21H71A1254,IT
21H71A1255,IT
21H71A1256,IT
21H71A1257,IT
21H71A1258,IT
21H71A1259,IT
21H71A1260,IT
21H71A1261,IT
21H71A1262,IT
21H71A1263,IT
21H71A1264,IT
21H71A1265,IT
21H71A1266,IT
22H75A0101,CIVIL
22H75A0102,CIVIL
22H75A0103,CIVIL
22H75A0104,CIVIL
22H75A0105,CIVIL
22H75A0106,CIVIL
22H75A0107,CIVIL
22H75A0108,CIVIL
22H75A0109,CIVIL
22H75A0110,CIVIL
22H75A0111,CIVIL
22H75A0112,CIVIL
22H75A0113,CIVIL
22H75A0114,CIVIL
22H75A0115,CIVIL
22H75A0116,CIVIL
22H75A0117,CIVIL
22H75A0118,CIVIL
22H75A0119,CIVIL
22H75A0120,CIVIL
22H75A0401,ECE
22H75A0402,ECE
22H75A0403,ECE
22H75A0404,ECE
22H75A0405,ECE
22H75A0406,ECE
22H75A0407,ECE
22H75A0408,ECE
22H75A0409,ECE
22H75A0410,ECE
22H75A0411,ECE
22H75A0412,ECE
22H75A0413,ECE
22H75A0414,ECE
22H75A0415,ECE
22H75A0416,ECE
22H75A0417,ECE
22H75A0418,ECE
22H75A0419,ECE
22H75A0420,ECE
22H75A0421,ECE
22H75A0422,ECE
22H75A0423,ECE
22H75A0424,ECE
22H75A0425,ECE
22H75A0426,ECE
22H75A0427,ECE
22H75A0428,ECE
22H75A0429,ECE
22H75A0430,ECE
22H75A0431,ECE
22H75A0432,ECE
22H75A0433,ECE
22H75A0434,ECE
22H75A0435,ECE
22H75A0436,ECE
22H75A0438,ECE
22H75A0439,ECE
22H75A0440,ECE
22H75A0441,ECE
22H75A0501,CSE
22H75A0502,CSE
22H75A0503,CSE
22H75A0504,CSE
22H75A0505,CSE
22H75A0506,CSE
22H75A0507,CSE
22H75A0508,CSE
22H75A0509,CSE
22H75A0510,CSE
22H75A0511,CSE
22H75A0512,CSE
22H75A0513,CSE
22H75A0514,CSE
22H75A0515,CSE
22H75A0516,CSE
22H75A0517,CSE
22H75A0518,CSE
22H75A0519,CSE
22H75A0520,CSE
22H75A1201,IT
22H75A1202,IT
22H75A1203,IT
22H75A1204,IT
22H75A1205,IT
22H75A1206,IT
